,FC,FC,FC,FC,FC,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR
Tissue,CSF,CTX,CTX,SPC,SPC,CSF,CTX,CTX,SPC,SPC,sum_significant
Fraction,CSF,insoluble,soluble,insoluble,soluble,CSF,insoluble,soluble,insoluble,soluble,
Leading_Gene,,,,,,,,,,,
ADGRL2,-0.0718182510799839,,,,,0.9962090509916655,,,,,0
ADGRL3,-0.0139413030337749,,0.282014118546031,,,0.9962090509916655,,0.261323319228746,,,0
ADH1B,,,-1.15945400789751,,-0.0182056628747691,,,0.214507489024295,,0.97790748489657,0
ADH5,,0.0130853027165054,-0.272765818757255,0.311536450365711,,,0.998589987665774,0.716915686140046,0.160289271588119,,0
ADHX,,,,,-0.0167613426801355,,,,,0.958009237049721,0
ADK,,,0.409780803696309,,0.246584839190538,,,0.625861872642889,,0.685573969315978,0
ADM,-0.0295836282813031,,,,,0.9962090509916655,,,,,0
ADPGK,-0.120043233383534,,,,,0.8088592738551138,,,,,0
ADPPT,,,,,-0.172931840699107,,,,,0.783155385424844,0
ADRO,,,,,-0.0892707187125639,,,,,0.80358798666999,0
ADSS2,,,-0.5259532003283,,,,,0.232012390816428,,,0
ADT1,,,,,0.0705966127200379,,,,,0.675549484801983,0
ADT2,,,,,0.064111903051595,,,,,0.778416692639584,0
ADT3,,,,,0.00307406442812863,,,,,0.993277516450027,0
AEBP1,0.109060703270512,,,,,0.9595208764726064,,,,,0
AFAD,,,,,-0.0375471450404992,,,,,0.961823981840594,0
AFDN,,,0.150813644395465,,,,,0.480012948402092,,,0
AFG1L,,,0.226682477866748,,0.201933977077173,,,0.425967897692819,,0.630095908390448,0
AFG32,,,,,-0.535203840117147,,,,,0.2018900400593,0
AFG3L2,,,-0.0607080702102318,,,,,0.876575666766215,,,0
AFM,-0.0187546760120263,,,,,0.9962090509916655,,,,,0
AGA,0.0809318148900608,,,,,0.9962090509916655,,,,,0
AGAP1,,,-0.243257967558544,,0.205101573836622,,,0.623297503902552,,0.761403787342313,0
AGAP2,,0.263096195604714,0.0957789813617489,,0.257403416299588,,0.565365089979021,0.789453086114022,,0.74811264574349,0
AGAP3,,-0.0424405045358923,-0.0721581043832583,0.276550945808177,-0.0484838515938558,,0.909218979038952,0.777183846041102,0.795438561541462,0.906741236938562,0
AGFG1,,0.00387753058810486,0.00848125661386336,0.0469636782441782,-0.0293706855038199,,0.998589987665774,0.970455626848985,0.92640335347839,0.962864982732712,0
AGK,,,0.548128697638782,,0.147076832360085,,,0.137369303227591,,0.74058693934222,0
AGL,,,-0.0958270145988463,,,,,0.876575666766215,,,0
AGPAT1,,,-0.375856573296969,,,,,0.547403638795033,,,0
AGPAT3,,,6.09392370443107e-06,,,,,0.999960107683427,,,0
AGPAT4,,,-0.354275470620503,,,,,0.300339511499474,,,0
AGPAT5,,,-0.345983700597397,,,,,0.470658576080711,,,0
AGPS,,-0.287199452573184,0.00887378852800214,-0.30305683900778,,,0.791954408803169,0.993858910769162,0.673577520816981,,0
AGRB2,,,,,0.140835885157054,,,,,,0
AGRB3,,,,,-0.487148831526915,,,,,0.79905074999141,0
AGRIN,,,,,0.399513517437314,,,,,0.168241352716061,0
AGRL1,,,,,-0.429531725657941,,,,,0.814153106910834,0
AGRL3,,,,,0.0481046709181068,,,,,0.932402898166652,0
AGRN,0.0521345740125412,0.122235279148945,-0.0616578079340675,0.425242279243171,,0.9767077574634933,0.809103959223353,0.807208678339561,0.445498283888034,,0
